organismo,proveedor,monto,fecha_licitacion,fecha_adjudicacion,objeto_licitacion,estado,dias_adjudicacion
DIRECCIÓN NACIONAL DE CULTURA,MABINOR SOCIEDAD ANONIMA,490000.0,,2025-06-23,R/214886600017,ACTIVE,
INTENDENCIA DE MONTEVIDEO,BANDALUX URUGUAY SOCIEDAD ANONIMA,16157.0,,2025-02-10,R/211091530014,ACTIVE,
BANCO DE LA REPÚBLICA DEL URUGUAY,FERRIGNA MINATI ERIC DANIEL,1324000.0,,2025-11-28,R/218677090019,ACTIVE,
HOSPITAL PASTEUR,BIOERIX SA,1502400.0,,2025-12-18,R/213168300014,ACTIVE,
CENTRO AUXILIAR DE BELLA UNIÓN,SANYFICO S A,184000.0,,2025-09-05,R/210378570013,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,HUGO MAQUINAS LIMITADA,100092.0,,2025-08-04,R/213129290011,ACTIVE,
JEFATURA DE POLICÍA DE SORIANO,PORRAS SEGUROLA PABLO EDUARDO,77070.0,,2025-09-30,R/180236860016,ACTIVE,
INTENDENCIA DE MONTEVIDEO,GRUPO ISOS SRL,2100000.0,,2025-04-01,R/217366320014,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,NOATEL SOCIEDAD ANONIMA,172730.0,,2025-10-06,R/218395990012,ACTIVE,
JEFATURA DE POLICÍA DE ARTIGAS,"GULARTE COSTA JUAN DIONISIO Y KAISER TEJEIRA , MARCOS RAFAEL",1209836.0,,2025-02-03,R/010184000014,ACTIVE,
INTENDENCIA DE MONTEVIDEO,ZORBACRIL S R L,202870.0,,2025-11-10,R/211894790011,ACTIVE,
PRESIDENCIA DE LA REPÚBLICA Y UNIDADES DEPENDIENTES,SEBICK JARA SEGUNDO ALEJANDRO,79300.0,,2025-11-06,R/212497990012,ACTIVE,
HOSPITAL DE SAN CARLOS,LABORATORIO LIBRA SOCIEDAD ANONIMA,354500.0,,2025-06-03,R/212730570017,ACTIVE,
CENTRO UNIVERSITARIO REGIONAL ESTE,JCPDS-INTERNATIONAL CENTRE FOR DIFFRACTION DATA OR ICDD,13750.0,,2025-08-06,X/USA23-1722541,ACTIVE,
BANCO DE PREVISIÓN SOCIAL,MACHADO CARLOS ADAN,3888200.0,,2025-07-25,R/100596240011,ACTIVE,
INTENDENCIA DE MONTEVIDEO,AUSTEDO SANTOS MARCELO ABEL,3200000.0,,2025-09-10,R/219037760010,ACTIVE,
DIRECCIÓN NACIONAL DE VIALIDAD,ELIAS ANA BEATRIZ,20209695.0,,2025-04-07,R/160254680011,ACTIVE,
INTENDENCIA DE MONTEVIDEO,GELIMIX SOCIEDAD ANONIMA,108820.0,,2025-04-10,R/215058770012,ACTIVE,
INTENDENCIA DE MONTEVIDEO,PERIBEL SOCIEDAD ANONIMA,21104344.0,,2025-06-26,R/216381320013,ACTIVE,
DIRECCIÓN DE EDUCACIÓN,CENTRO SERIGRAFICO S.R.L.,285000.0,,2025-06-23,R/216567170011,ACTIVE,
OFICINAS CENTRALES Y ESCUELAS DEPENDIENTES DE RECTORADO,EXHIBIRTE SAS,712000.0,,2025-03-05,R/020615610018,ACTIVE,
CENTRO UNIVERSITARIO REGIONAL NORESTE,DAYUTO PEDREIRA PABLO SEBASTIAN,270000.0,,2025-07-02,R/140281510011,ACTIVE,
CENTRO DEPARTAMENTAL DE ROCHA,ARANIL S.A.,116000.0,,2025-11-18,R/213673710011,ACTIVE,
ADMINSTRACIÓN NACIONAL DE CORREOS,QBO S.A.,35141000.0,,2025-06-04,R/216226510017,ACTIVE,
CENTRO DEPARTAMENTAL DE FLORES,BRANDT LABORATORIOS DEL URUGUAY S A,84000.0,,2025-08-12,R/210132790017,ACTIVE,
INTENDENCIA DE COLONIA,FERNANDEZ LAMAS JAVIER MARCELO,2696721311.0,,2024-12-11,R/040350730015,ACTIVE,
CENTRO DEPARTAMENTAL DE MALDONADO,ZIGEL LIMITADA,607500.0,,2025-10-21,R/213381630018,ACTIVE,
DIREC.SISTEMA DE ATENCIÒN INTEGRAL PERSONAS PRIVAD. LIBERTAD,BIOERIX SA,967410.0,,2025-05-28,R/213168300014,ACTIVE,
COMISIÓN ADMINISTRATIVA DEL PODER LEGISLATIVO,CODIC SA,2272200.0,,2025-02-26,R/213926970016,ACTIVE,
COMISIÓN ADMINISTRATIVA DEL PODER LEGISLATIVO,DIAGONAL LTDA,4827319999999999.0,,2025-11-21,R/210827100019,ACTIVE,
FACULTAD DE PSICOLOGÍA,KLIDUR SA,867300.0,,2025-12-26,R/214799420010,ACTIVE,
INTENDENCIA DE MONTEVIDEO,VISAO SOCIEDAD ANONIMA,5714753.0,,2025-05-23,R/213217480017,ACTIVE,
DIREC. GENERAL DE SECRETARÍA.,INNOVAAGE URUGUAY S.R.L.,144000.0,,2025-07-17,R/217458540010,ACTIVE,
COMANDO GENERAL DE LA FUERZA AÉREA,FASTERMIN SOCIEDAD ANONIMA,40200.0,,2025-07-28,R/216456510019,ACTIVE,
ADMINISTRACIÓN NACIONAL DE USINAS Y TRASMISIONES ELÉCTRICAS,CIENCIA VIVA,6375430.0,,2025-03-11,R/213345360014,ACTIVE,
INTENDENCIA DE MONTEVIDEO,,,2025-07-11,,COMPRA DIRECTA D173231/2025,,
INTENDENCIA DE CANELONES,ASOCIACION CIVIL JUVENTUD PARA CRISTO EN EL URUGUAY,9968689.0,,2025-08-12,R/213537330016,ACTIVE,
INTENDENCIA DE MONTEVIDEO,FLORES VILLAFAN ALEXIS DAMIAN,3580000.0,,2025-09-22,R/219568240018,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,DAN FRANCO ALONSO ARAÚJO,,,2024-12-07,C/51856432,ACTIVE,
CENTRO DEPARTAMENTAL DE FLORES,COR BARRETO SANDRA ADRIANA,43886454.0,,2025-10-23,R/213369250014,ACTIVE,
ADMINISTRACIÓN NACIONAL DE TELECOMUNICACIONES,,,,,COMPRA POR EXCEPCIÓN 102254/2021,,
BANCO DE LA REPÚBLICA DEL URUGUAY,ISMAR ELECTRICIDAD SRL,520980.0,,2025-05-26,R/170309760019,ACTIVE,
DIRECCIÓN GENERAL DE COORDINACIÓN,BRUSSONE IRIONDO LEONARDO MARIO,1537091.0,,2025-09-19,R/215952670012,ACTIVE,
INTENDENCIA DE MONTEVIDEO,SOLE SANCHEZ AZOR ENRIQUE,90000.0,,2025-06-06,R/211822790015,ACTIVE,
SERVICIO NACIONAL DE ORTOPEDIA Y TRAUMATOLOGÍA,CAZENAVE LOPEZ MIRTA LILIAN,25200.0,,2025-11-17,R/215439210012,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,VALENTIN SANTINO DEL GIACCO QUINTAS,,,2024-12-07,C/18316300,ACTIVE,
ADMINISTRACIÓN NACIONAL DE PUERTOS,PHITEL URUGUAY SRL,2566050.0,,2025-06-11,R/218810170014,ACTIVE,
RED DE ATENCIÓN PRIMARIA DE RIVERA,NOAS FARMA URUGUAY SOCIEDAD ANONIMA,1186065.0,,2025-05-30,R/210547710011,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,AIR LIQUIDE URUGUAY S.A.,3.451110000000001e+16,,2025-06-06,R/210058770011,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,PIANO PIANO SRL,1700000.0,,2025-05-28,R/218439210017,ACTIVE,
"ADMINISTRACIÓN NACIONAL DE COMBUSTIBLE, ALCOHOL Y PORTLAND",TOPNIR SYSTEMS SAS,3634091.0,,2025-04-28,X/FRA48206152000011,ACTIVE,
CENTRO AUXILIAR DE PANDO,FABLET Y BERTONI S A,31800.0,,2025-11-19,R/210366620010,ACTIVE,
FACULTAD DE ODONTOLOGÍA,TECNOLOGIA CAD-CAM SRL,562081808.0,,2025-12-17,R/218592930012,ACTIVE,
INTENDENCIA DE MONTEVIDEO,DYP INGENIERIA GEOTECNICA SAS,2115000.0,,2025-12-23,R/110443870016,ACTIVE,
FACULTAD DE CIENCIAS,GRECOR S.A.,1158000.0,,2025-01-31,R/217587020013,ACTIVE,
MINISTERIO DE RELACIONES EXTERIORES,LONDON MILENIUM S.A.,1708000.0,,2025-05-09,R/214268160018,ACTIVE,
DIREC. GENERAL DE SECRETARÍA.,BUENO FAVALE JOSE ALEJANDRO,1081967.0,,2025-09-22,R/010047460013,ACTIVE,
CENTRO UNIVERSITARIO REGIONAL ESTE,FUNDACION PARA EL DESARROLLO DE LAS CIENCIAS BASIC,4000000.0,,2025-07-23,R/215213190010,ACTIVE,
INSTITUTO DEL NIÑO Y ADOLESCENTE DEL URUGUAY INAU,CAPMAR S A,401639366.0,,2025-11-21,R/214812870010,ACTIVE,
CONSEJO DE EDUCACIÓN TÉCNICO-PROFESIONAL,TIENDA DE REFRIGERACION S.A.S,520491803.0,,2025-05-30,R/218825420011,ACTIVE,
CENTRO DEPARTAMENTAL DE ROCHA,HOSPITAL PAYSANDU (U.E. NRO.024 M.S.P.),246781818.0,,2025-01-30,R/120203810016,ACTIVE,
DIRECCIÓN GENERAL DE SECRETARÍA,TRANDES SAS,32000.0,,2025-08-11,R/212067780012,ACTIVE,
CENTRO HOSPITALARIO PEREIRA ROSSELL,ELENA LTDA,8999900.0,,2025-12-16,R/211170750017,ACTIVE,
DIRECCIÓN NACIONAL DE VIALIDAD,BERDIA HERNANDEZ ROBERT ORLANDO,600000.0,,2024-12-02,R/190320540016,ACTIVE,
FACULTAD DE CIENCIAS,BENKENDORF TAÑO LEONARDO JAVIER,1633000.0,,2024-07-20,R/213838930012,ACTIVE,
INTENDENCIA DE MONTEVIDEO,STALORI S A,1680000.0,,2025-03-25,R/211556860010,ACTIVE,
INSTITUTO NACIONAL DE COLONIZACIÓN,COLLAZO CARABALLO MARIA PAULA,5610000.0,,2025-10-27,R/213940440010,ACTIVE,
CENTRO DEPARTAMENTAL DE ROCHA,REACTIVOS DEL URUGUAY SOCIEDAD ANONIMA,34352459.0,,2025-08-18,R/210997120010,ACTIVE,
INTENDENCIA DE MONTEVIDEO,URILUR S.A.,1260000.0,,2025-08-18,R/213522440015,ACTIVE,
INTENDENCIA DE MONTEVIDEO,MONTEVERDE LOPEZ MARIA DEL ROSARIO,3000000.0,,2022-12-09,R/219226280016,ACTIVE,
DIRECCIÓN GENERAL DE SECRETARÍA,TOBLES S A,1600000.0,,2025-02-13,R/211531800014,ACTIVE,
DIRECCIÓN NACIONAL DE SANIDAD DE LAS FUERZAS ARMADAS,CENTRO DEPARTAMENTAL DE SALUD PUBLICA DE CERRO LAR,147861220.0,,2025-02-12,R/030148750011,ACTIVE,
ADMINISTRACIÓN NACIONAL DE PUERTOS,REPAPEL,150000.0,,2025-10-01,R/216368650013,ACTIVE,
CENTRO UNIVERSITARIO REGIONAL ESTE,MILLAN BASIGNANI ANDRES SEBASTIAN,174591016.0,,2025-12-16,R/217817580015,ACTIVE,
ADMINISTRACIÓN DE LAS OBRAS SANITARIAS DEL ESTADO,OLIVERA DABOBE ALEJANDRO GENARO,18927150.0,,2025-02-27,R/219051150011,ACTIVE,
DIRECCIÓN NACIONAL DE LOTERÍAS Y QUINIELAS,TENFIELD SA,1586000.0,,2025-11-21,R/213785940019,ACTIVE,
INTENDENCIA DE MONTEVIDEO,DE LEON SILVA JOSE PEDRO,123600.0,,2025-11-05,R/217874700016,ACTIVE,
DIRECCIÓN DE DESARROLLO SOCIAL,ENCATEX S A,490500.0,,2025-08-08,R/210002500019,ACTIVE,
RED DE ATENCIÓN PRIMARIA DE LAVALLEJA,CORONARIA MEDICA MINUANA SAS,504000.0,,2025-10-01,R/090089390011,ACTIVE,
INTENDENCIA DE CANELONES,RODRIGUEZ ALSINA RAMIRO ALVARO,2520500.0,,2025-07-21,R/020440330011,ACTIVE,
BANCO DE PREVISIÓN SOCIAL,SUAREZ DIANO EMILIO,2172131.0,,2025-10-23,R/090144720014,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,INSTITUTO URUGUAYO DE ESTUDIOS LABORALES II LTDA,2956000.0,,2025-07-31,R/213740820014,ACTIVE,
INTENDENCIA DE MONTEVIDEO,ALVAREZ HERNANDEZ NESTOR RAUL,3580000.0,,2025-09-26,R/219508890016,ACTIVE,
DIRECCIÓN NACIONAL DE MIGRACIÓN,RESONET S.A.,35250.0,,2025-07-01,R/215500380016,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,HÉCTOR DANIEL SANTOS REPETTI,,,2024-12-07,C/27599379,ACTIVE,
DIRECCIÓN NACIONAL DE SANIDAD DE LAS FUERZAS ARMADAS,CENTRO AUXILIAR CHUY,9295710.0,,2025-02-12,T/29073,ACTIVE,
CENTRO UNIVERSITARIO REGIONAL LITORAL NORTE,SEVERO CORONEL MANUEL,49180328.0,,2024-11-21,R/150538830010,ACTIVE,
FISCALIA GENERAL DE LA NACIÓN,GOMES RETAMAR VINICUS,102459.0,,2025-03-10,R/220136340013,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,UNILAM S A,1954080.0,,2025-06-18,R/215123530017,ACTIVE,
INSTITUTO NACIONAL DE COLONIZACIÓN,CORRADI CORBO MARIA LUCIA,8040000.0,,2025-07-28,R/216153590016,ACTIVE,
INSTITUTO DEL NIÑO Y ADOLESCENTE DEL URUGUAY INAU,REGALO''''S S.R.L.,22131142.0,,2025-07-30,R/040198860012,ACTIVE,
DIRECCIÓN NACIONAL DE SANIDAD DE LAS FUERZAS ARMADAS,RED DE ATENCION PRIMARIA DE CANELONES,1000000.0,,2025-03-21,R/020145500017,ACTIVE,
INTENDENCIA DE MONTEVIDEO,C ADOLFO CASARETTO S A,14300.0,,2025-08-27,R/210807150010,ACTIVE,
JEFATURA DE POLICÍA DE RIVERA,PIZZORNO NICHE HUGO ALEJANDRO,182787.0,,2025-02-13,R/140108350016,ACTIVE,
INTENDENCIA DE MONTEVIDEO,LIZCANO CESPEDES JUAN CARLOS,2400000.0,,2025-05-16,R/219499690013,ACTIVE,
CENTRO AUXILIAR DE BELLA UNIÓN,RINQUE PHARMA S.A.,600000.0,,2025-08-08,R/216904850012,ACTIVE,
ADMINISTRACIÓN NACIONAL DE USINAS Y TRASMISIONES ELÉCTRICAS,RIVERO PEÑA CARLOS EMILIO,8206810.0,,2025-03-11,R/070196830010,ACTIVE,
INTENDENCIA DE MONTEVIDEO,ORILER S A,39300.0,,2025-01-10,R/213418520016,ACTIVE,
INTENDENCIA DE CANELONES,SANICAM URUGUAY SRL,8085000.0,,2025-01-22,R/218504970017,ACTIVE,
INTENDENCIA DE MONTEVIDEO,TORREIRA IRACE ANGEL NICOLAS Y TORREIRA IRACE MATIAS FEDERICO,635910.0,,2023-06-09,R/217549910015,ACTIVE,
DIRECCIÓN GENERAL DE COORDINACIÓN,OPTICA INTERNACIONAL LTDA,157272.0,,2025-11-25,R/212098930016,ACTIVE,
JEFATURA DE POLICÍA DE TACUAREMBÓ,SILVA NU-EZ SOLEDAD,22541.0,,2025-07-29,R/190159660019,ACTIVE,
INTENDENCIA DE MONTEVIDEO,LEIVA MAURO NATALIA IVONNE,3200000.0,,2025-10-21,R/219704160017,ACTIVE,
DIRECCIÓN NACIONAL DE ADUANAS,JULIO CESAR GUARNIERI QUARTIANI,,,2025-08-07,C/20120292,ACTIVE,
HOSPITAL DE SAN CARLOS,GASTROCLINICA S.R.L.,122035.0,,2025-05-22,R/213506820011,ACTIVE,
CENTRO DEPARTAMENTAL DE LAVALLEJA,LABORATORIOS CELSIUS S A,1325364.0,,2025-05-15,R/210345980018,ACTIVE,
CENTRO HOSPITALARIO PEREIRA ROSSELL,ELECTRO PC S.R.L.,513500.0,,2024-12-18,R/217483420015,ACTIVE,
CENTRO DEPARTAMENTAL DE MALDONADO,UMIRAL S A,405625.0,,2025-07-16,R/213299380011,ACTIVE,
INTENDENCIA DE MONTEVIDEO,NELMAR S.A.S,275629.0,,2025-11-14,R/211858620012,ACTIVE,
INSTITUTO DEL NIÑO Y ADOLESCENTE DEL URUGUAY INAU,DISTRIBUIDORA SANTA ANA S A,122745199.0,,2025-03-19,R/211603980013,ACTIVE,
INTENDENCIA DE MONTEVIDEO,,,2025-07-30,,COMPRA DIRECTA D174831/2025,,
SECRETARÍA NACIONAL DEL DEPORTE,NEDORIL S A,190218000.0,,2025-08-21,R/216245080014,ACTIVE,
DIREC. GENERAL DE SECRETARÍA.,TRANSPORTE INTEGRAL SA,225909.0,,2025-08-28,R/070000860019,ACTIVE,
INSTITUTO NACIONAL DE REHABILITACIÓN,HOUJEIJE ZOGAIB ZORAIDA,,,2025-04-25,R/170227440010,ACTIVE,
BANCO CENTRAL DEL URUGUAY,NICOLAS DE MARCO Y CIA S A,411680.0,,2025-03-05,R/210262210010,ACTIVE,
INSTITUTO DEL NIÑO Y ADOLESCENTE DEL URUGUAY INAU,PEDROZO RODRIGUEZ JULIA EDITH,6196721399999999.0,,2025-05-16,R/214997490015,ACTIVE,
INTENDENCIA DE MONTEVIDEO,BERTOLINI VILLANUEVA DIEGO EZEQUIEL,3580000.0,,2025-10-10,R/220476990014,ACTIVE,
DIRECCIÓN GENERAL FORESTAL,CUERART SA,154918.0,,2025-10-23,R/210734220014,ACTIVE,
INTENDENCIA DE MONTEVIDEO,FALCON MACHADO VALERIA JOSSELINE,3580000.0,,2025-05-30,R/219561160019,ACTIVE,
CENTRO DEPARTAMENTAL DE FLORES,MEGALABS URUGUAY S A,284922.0,,2025-05-02,R/210231300018,ACTIVE,
ADMINISTRACIÓN NACIONAL DE USINAS Y TRASMISIONES ELÉCTRICAS,LOGICALIS URUGUAY S.A.,1579115.0,,2024-09-19,R/213904300018,ACTIVE,
ADMINISTRACIÓN NACIONAL DE USINAS Y TRASMISIONES ELÉCTRICAS,NEVELAND S.A.,9737500.0,,2025-02-28,R/213039810016,ACTIVE,
INTENDENCIA DE CANELONES,PALDIR S A,22990.0,,2025-05-28,R/213043330015,ACTIVE,
HOSPITAL ESPECIALIZADO DE OJOS,SPECTRUM URUGUAY SRL,136000.0,,2025-07-29,R/215205830014,ACTIVE,
JEFATURA DE POLICÍA DE ARTIGAS,ARTYCOLOR S.R.L,236100.0,,2025-07-24,R/010127100013,ACTIVE,
INTENDENCIA DE COLONIA,GERBEN SOCIEDAD DE RESPONSABILIDAD LIMITADA,20000680.0,,2025-11-07,R/040233270018,ACTIVE,
PODER JUDICIAL,PULSO SRL,1126360656.0,,2025-04-24,R/214614420019,ACTIVE,
DIRECCIÓN NACIONAL DE INDUSTRIAS,ESTANDARTE S.R.L,120000.0,,2025-05-16,R/216420820018,ACTIVE,
JEFATURA DE POLICÍA DE RIVERA,KAIROS RIVERA SRL,280862.0,,2025-12-18,R/140224770018,ACTIVE,
CANAL 5 - SERVICIO DE TELEVISIÓN NACIONAL,EQUITAL SOCIEDAD ANONIMA,46310.0,,2025-11-25,R/212312330010,ACTIVE,
DIRECCIÓN GENERAL DE SERVICIOS GANADEROS,ARROYO GUASTAVINO ISMAEL Y CARESANI PAULA EDER SANYO,225720.0,,2025-07-01,R/040548400015,ACTIVE,
CONSEJO DE EDUCACIÓN TÉCNICO-PROFESIONAL,MASDIST SAS,755327869.0,,2025-01-13,R/219402210011,ACTIVE,
JEFATURA DE POLICÍA DE SAN JOSÉ,VEROBLUE S A,1524011.0,,2025-06-24,R/214426470012,ACTIVE,
PODER JUDICIAL,BROER Y SIMON LTDA,148033.0,,2025-10-16,R/210055210015,ACTIVE,
BANCO DE LA REPÚBLICA DEL URUGUAY,CORIN S.A.,42000.0,,2025-07-14,R/211426770011,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,UNION ELECTRICA S.A.,16157953.0,,2025-01-10,R/214679320019,ACTIVE,
DIREC. GENERAL DE SECRETARÍA.,AGENCIA CENTRAL S A,20131546.0,,2025-04-05,R/210237200015,ACTIVE,
DIRECCIÓN NACIONAL DE POLICÍA CIENTÍFICA,HEBA LTDA.,637705.0,,2025-12-10,R/211229400017,ACTIVE,
INSTITUTO NACIONAL DE REHABILITACIÓN,ARRIGONI REFRIGERACION SAS,1186600.0,,2025-05-23,R/219769270011,ACTIVE,
DIRECCIÓN GENERAL DE CASINOS,REDINAR SOCIEDAD ANONIMA,32920.0,,2025-05-05,R/214771560012,ACTIVE,
COMISIÓN ADMINISTRATIVA DEL PODER LEGISLATIVO,MODILOR SOCIEDAD ANONIMA,10803490.0,,2024-12-23,R/218109990019,ACTIVE,
DIRECCIÓN GENERAL DE SECRETARÍA,GXC SOCIEDAD ANONIMA,25259640.0,,2024-12-30,R/212651420012,ACTIVE,
"ADMINISTRACIÓN NACIONAL DE COMBUSTIBLE, ALCOHOL Y PORTLAND",VIDALIN CANAPA LEONARDO SEBASTIAN Y CANAPA BATISTA SONIA STELLA,80000000.0,,2025-09-11,R/080213240015,ACTIVE,
INTENDENCIA DE COLONIA,KIMANAT SAS,4836000.0,,2025-08-05,R/219384140010,ACTIVE,
SERVICIO NACIONAL DE ORTOPEDIA Y TRAUMATOLOGÍA,TERCIR S R L,30000.0,,2025-02-06,R/210908930011,ACTIVE,
INTENDENCIA DE MONTEVIDEO,SUAREZ NERON HEBERT HORACIO Y ESQUIVEL MARTINEZ LUIS ALBERTO,385000.0,,2025-08-30,R/217779050018,ACTIVE,
INTENDENCIA DE MONTEVIDEO,BIRKE S R L,720000.0,,2025-12-15,R/213361670014,ACTIVE,
ADMINISTRACIÓN NACIONAL DE USINAS Y TRASMISIONES ELÉCTRICAS,BORGES OCHANDORENA MARCELO,12380830.0,,2024-11-11,R/170076800013,ACTIVE,
INTENDENCIA DE MONTEVIDEO,FOTOSINTESIS S.R.L.,255000.0,,2025-05-27,R/211752210015,ACTIVE,
BANCO DE SEGUROS DEL ESTADO,EMARLAN S A,32500.0,,2025-03-28,R/211031930016,ACTIVE,
INTENDENCIA DE MONTEVIDEO,60HZ GENERADORES SAS,1000000.0,,2025-03-12,R/219304870017,ACTIVE,
INTENDENCIA DE MONTEVIDEO,GRAVINA LEITES ALVARO,95000.0,,2025-05-29,R/217744760019,ACTIVE,
